uuid,ml,ap,dv
,,,
ae5e3b11-9c39-4c84-b6d7-7f085bee17dc,3785,7700,3656
,,,
e40184a6-65b4-4c11-b7db-758e71b31446,3776,7700,3615
,,,
450d74e4-d495-4c33-b75b-f1c996ef05f4,3776,7700,3615
,,,
79cd1097-1177-40a2-9191-4a6e78b3599b,3776,7700,3615
,,,
06fa26af-9813-4685-b79d-b51aaa074218,3776,7700,3594
,,,
06ace209-07f6-4769-b9fd-f248f4a9e806,3776,7700,3615
,,,
3e1d4a23-6446-49fb-9b13-dcdcbdb1e4bf,3776,7700,3572
,,,
786dc186-60e1-43c1-8b9f-1c8ff4d9798e,3776,7700,3572
,,,
79ba7d6f-2c04-444b-9a38-ca89bd5fff78,3768,7691,3490
,,,
1a81e502-26c6-4d2f-9972-7a68b1eba543,3747,7645,3307
,,,
a2268047-8d23-4c7f-ab7f-0a2a7fa0571e,3726,7568,3000
,,,
ce85718e-8e67-4668-8fcf-b5b9ebd38e7b,3676,7449,2531
,,,
a8e166b3-611c-49b1-8429-ad6b2209178a,3668,7440,2491
,,,
6a700778-4800-48e7-a403-46cfb669e8b4,3663,7436,2470
,,,
5b810ed1-deb9-4c51-b393-08f4a517156b,3663,7436,2470
,,,
fda686d8-27ea-40c5-b020-76091e08ecbc,3658,7431,2450
,,,
1d2c42da-62cd-4231-b81a-e425a6796573,3651,7425,2388
,,,
b142434d-f8f5-4461-ad2e-f12a642200ac,3528,7377,1834
,,,
f028a83c-401b-4013-8a52-cbc9e8b78331,3525,7375,1735
,,,
e4c1ab71-61ff-49cd-8be3-eb853ac9129c,3525,7375,1735
,,,
3943d2f4-20e3-4732-8d7c-299eb2f839c9,3522,7371,1711
,,,
48497a67-9626-484b-b216-9f0d1557fb77,3335,7266,1215
,,,
f07f7d47-b313-4136-a5fc-de30e6c8e9b5,3325,7261,1196
,,,
e92d1f7f-7429-4bcd-95a4-b5ca4aa26625,3291,7239,1118
,,,
dfc7039e-fc44-4183-a1c2-d54bc6a75a76,3305,7251,1157
,,,
a4548a48-4e31-4789-9193-6c2f8d56d37a,3305,7251,1157
,,,
f1c610e4-a759-43bd-8a7a-e1871273aafb,3298,7246,1138
,,,
8434ae94-b5cd-433d-8b9f-49b63265ad8c,3887,7759,4167
,,,
ac584a0d-8ab4-4369-9eea-079a4344ad60,3325,7261,1196
,,,
5c56d9c1-452e-4086-af71-df8baabe087e,3298,7246,1138
,,,
157ddd56-3497-4b67-89be-03c04e6f4d1d,3284,7232,1098
,,,
6273b786-3f3c-4930-bbe5-748d57d6f64d,3344,7271,1234
,,,
c795c875-4922-4705-8450-3fd28a74e04d,2552,9374,6101
,,,
4ac5b72e-7e84-4f44-81ac-d4cabb592fe2,2552,9374,6101
,,,
07591dcc-0516-4682-ae22-929e677f1c6f,2557,9369,6121
,,,
12355288-a551-43d9-afb3-c431b02bf3e5,2552,9374,6101
,,,
c7611eb9-f6ad-4248-9701-772065cda279,2551,9375,6079
,,,
d13fd357-4b61-47db-b5a2-362ccdc10500,2551,9375,6079
,,,
d58a8893-a67d-466c-9090-f266b89e4860,2551,9375,6058
,,,
4e88b3a5-ac18-4b37-bced-a92e11b1cce0,2551,9375,6036
,,,
a4fd3f8f-5881-45b0-8c4b-6a37c98350c9,2551,9375,6014
,,,
74516563-9de3-4d62-809b-5345f335ebdb,2551,9375,6036
,,,
c3187109-ca80-4e09-993d-299fdd77ff5e,2551,9375,5993
,,,
80b63504-2c46-4891-951e-7349a4c85ec5,2551,9375,5971
,,,
89ffa8fe-9090-469d-a3f3-ec5e9a31c5c4,2551,9375,5906
,,,
742479db-196e-4cdd-a724-a193a42fc379,2551,9375,5906
,,,
478ab6cc-dbf6-48e3-99c9-0db90ce81457,2551,9375,5906
,,,
2bee3963-e8e9-4efb-97ef-58803e3b4142,2526,9375,5694
,,,
83fff00b-e7f2-40f7-a2d4-7cdf2c4b6686,2526,9375,5672
,,,
db68f02b-ab04-4c53-ae01-c9edfd406f65,2526,9375,5607
,,,
537d9f24-2669-4b8e-bcf4-5e090abc72a6,2526,9371,5586
,,,
4a6f372f-b33b-47b5-a351-31a3a836be5b,2526,9366,5565
,,,
e0c2a2d5-d845-4e9a-9d36-84c25e806fbb,2531,9344,5482
,,,
de0efe64-9907-4e30-b51e-94a5d3f91b0c,2546,9330,5421
,,,
d83e59a2-2529-455a-b585-5f86f4ffd6a7,2551,9325,5401
,,,
5f895f35-7e67-4b6f-a3bd-6a1e2f1cf9c7,2634,9266,4768
,,,
c0f28dfa-e080-4e69-84af-2c7fe45d8dcc,2664,9111,4047
,,,
5c8c4be0-044d-4b05-ab03-e3a9cbfb5f40,2776,8849,2910
,,,
09992b6c-2284-4d14-b425-191273efffa3,2793,8816,2833
,,,
9a97154e-795c-4624-aca3-5ad85aaffc64,2798,8806,2814
,,,
fd5bc14c-139e-4293-8d00-25d65c6d7fe1,2832,8799,2737
,,,
d00ae254-47b9-4afb-bd0d-cca93c6b5ed9,2851,8775,2529
,,,
00ffd658-c8cd-4383-8ddb-d0fac601e0cb,2860,8766,2466
,,,
17e8075b-ab1f-4d94-874b-df99e1065874,2883,8742,2387
,,,
921b2d38-c02d-4a2a-a032-a9152d795170,2883,8742,2387
,,,
102c4bfa-929b-4bc4-816e-93d3a4f2385a,2909,8716,2334
,,,
bd88ab83-caa8-4f1c-9859-42b9a292f23a,2900,8725,2352
,,,
d022182f-969b-4225-be8e-4a97f9e82ca8,2909,8716,2334
,,,
a823e527-21e4-45ad-9663-f477935529ea,2918,8708,2316
,,,
0e31224f-3c0f-4051-b935-5a6a38c8d03e,2926,8700,2212
,,,
5f5312fe-a3c3-443e-8174-729522b8d8b5,2926,8700,2234
,,,
189a1c1d-9fe9-497d-887f-1f22a4d76584,2551,9375,5950
,,,
6d77c7eb-203b-4f94-8b11-3dc4e7752f6d,2689,8949,3351
,,,
99a9978a-a5e2-4970-9637-906843c83888,2855,8771,2487
,,,
230d4493-fa86-4e39-86ca-4bc0f6194cd2,2870,8755,2426
,,,
00f3f216-d7f4-49db-bbf4-0b1e9742f117,2776,8074,6816
,,,
c869fad8-218a-431a-b1a4-433fb968a30d,2776,8074,6732
,,,
d57e7507-7443-41ee-a6cb-e8d443f27c9b,2776,8074,6732
,,,
62839787-63b9-440f-b6db-9c7379fdbf81,2776,8074,6690
,,,
dff84b74-a970-4a84-ba5a-65330ec6e2f9,2776,8074,6648
,,,
7932ea8a-e0b0-41f0-8321-57df1423d852,2776,8074,6606
,,,
3f961135-5b75-4555-9718-0da508f83051,2776,8074,6585
,,,
1ef40975-1fb3-4b96-b600-923546a8be32,2776,8074,6585
,,,
bbbd9c5f-a761-4f97-89c9-f1c392f2d946,2776,8074,6564
,,,
c4f03172-3f7d-4b32-8eb7-ca09bc372d20,2776,8074,6564
,,,
48ff190d-069f-46af-9306-725e499a3d8f,2776,8074,6522
,,,
dd43d9c8-ada3-4c26-baf4-266c7c9caab2,2776,8074,6543
,,,
7a9ab044-a719-4681-88d7-1d1aae2374fc,2776,8074,6458
,,,
f3156d17-9fd6-42d2-bbbc-20850fba6b21,2776,8074,6458
,,,
9de8a7ab-4794-418e-b199-7d9e9fe8100e,2776,8074,6458
,,,
5e545fca-5b44-44c7-a68a-e14b11c81e66,2776,8074,6437
,,,
